motionDirection,coherence,correct,rt
0,1.0000,1,0.5595
0,0.5120,1,0.9271
0,1.0000,1,0.5668
0,0.2560,1,0.9441
0,0.2560,1,0.8620
0,0.5120,1,0.6410
0,0.5120,1,0.5299
180,0.5120,1,0.6771
180,1.0000,1,0.4939
180,0.2560,1,0.5906
0,0.2560,1,0.7090
180,0.5120,1,0.5330
180,0.5120,1,0.6165
180,0.2560,0,1.0658
